CBC	000	1	10	2	3	4	5	6	about	across	against	alberta	all	among	animals	anthem	b	back	beat	because	been	being	between	by	c	cable	can	canada	canada's	canadian	charged	children's	city	closed	could	court	day	death	down	drivers	drug	during	east	energy	fans	federal	fire	first	force	friday	fund	game	get	girls	government	greyhound	had	hardship	he	help	her	high	home	how	if	indigenous	inquiry	into	inuit	it's	its	just	laid	last	losing	make	man	many	may	mechanics	message	mexico	monday	montreal	murder	national	news	next	nfl	night	north	not	off	old	one	ontario	open	opener	or	ottawa	out	people	pipeline	players	police	president	prize	public	quebec	rate	records	red	residential	right	run	said	saturday	say	school	scoop	sears	season	selfies	services	she	shooting	sixties	some	st	staffers	strike	students	sunday	supreme	survivors	take	task	team	than	thanksgiving	them	they	three	thursday	time	toronto	trade	trump	trump's	tuberculosis	u	up	vegas	vote	we	week	weekend	were	what	what's	when	wildlife	win	women	workers	world	years	york	you
CBC | Top Stories News	0	0	0	2	0	0	0	1	3	1	2	1	0	2	2	2	1	0	0	2	1	2	0	1	1	0	1	4	0	1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	2	0	2	0	2	2	0	2	2	2	0	2	1	1	2	0	0	0	0	2	2	2	4	1	1	0	2	1	2	1	0	1	1	2	0	2	0	0	0	3	2	0	2	3	1	0	2	2	1	2	1	0	1	1	4	3	0	2	0	1	0	0	2	2	0	0	0	0	0	2	1	2	0	0	2	0	2	2	0	2	0	0	0	2	2	0	4	0	0	1	2	0	3	0	2	1	0	0	0	0	2	0	2	1	4	1	4	0	0	2	0	1	0	0	2	2	0	2	2	0	0	0	1
CBC | World News	0	0	0	0	0	0	0	0	3	2	2	0	0	0	2	2	0	0	0	0	1	0	0	4	0	0	1	3	0	1	2	0	1	0	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	2	0	1	0	0	1	1	0	0	3	2	1	1	0	0	2	0	0	3	0	1	0	0	2	0	0	0	1	0	1	2	0	0	0	0	1	3	0	1	0	1	0	6	3	0	2	5	2	2	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	2	2	2	4	0	0	0	0	0	2	2	0	0	2	0	0	0	0	1	1	0	0	0	0	3	0	2	0	6	1	4	0	0	1	0	3	0	0	2	2	0	1	1	0	0	2	0
CBC | Canada News	1	0	0	3	1	0	0	1	2	1	1	3	0	2	2	0	2	0	0	2	2	2	0	1	2	0	1	5	0	3	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	2	0	2	0	2	0	1	2	5	2	0	2	0	1	1	0	1	1	2	3	2	1	6	1	0	2	2	0	2	1	1	1	2	2	2	2	0	1	0	2	1	4	0	2	1	0	2	2	2	2	0	0	3	2	0	2	0	0	1	1	0	0	5	2	0	0	0	0	1	1	0	4	0	0	2	0	2	0	0	0	0	1	0	2	2	0	2	0	0	0	2	0	4	0	1	4	0	0	0	0	2	0	2	2	1	2	0	2	0	3	0	0	1	1	0	2	0	1	2	0	3	0	0
CBC | Politics News	2	0	0	3	0	0	1	0	3	0	1	0	0	3	0	0	0	0	0	0	2	0	0	4	0	0	2	4	0	4	0	0	1	0	4	2	0	1	0	0	0	0	5	6	0	6	0	0	0	2	0	0	0	0	6	0	0	0	0	1	0	0	0	2	2	4	0	0	0	3	3	2	0	0	0	0	3	3	1	0	0	2	0	0	0	3	1	0	0	0	0	2	3	1	2	0	0	0	3	2	0	0	4	0	0	1	0	1	0	0	3	0	2	0	0	1	0	0	2	4	0	0	0	1	0	0	4	0	0	0	0	0	0	2	4	1	0	0	2	0	1	3	0	0	0	0	2	0	2	0	3	0	0	2	2	2	0	2	1	0	0	0	0	0	0	0	1	1	0
CBC | Business News	4	1	2	1	3	2	1	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	4	0	2	2	8	2	1	0	0	0	1	0	0	2	1	1	0	0	0	2	3	1	1	0	2	0	1	2	1	3	0	3	0	0	2	0	1	0	0	1	1	1	0	0	0	0	1	6	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	2	0	0	0	0	0	2	0	2	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	6	0	0	2	0	0	0	3	0	0	1	0	1	0	0	0	0	0	2	0	1	2	0	0	2	0	2	0	0	0	4	1	0	0	3	2	0	1	1	0	0	0	1	0	3	0	1	0	1
CBC | Health News	3	0	0	2	3	0	0	0	4	3	2	0	0	2	0	0	0	0	0	1	0	1	0	6	0	0	0	1	0	4	0	0	0	0	1	2	0	2	0	0	3	0	0	0	0	2	0	0	5	0	0	0	0	2	3	0	1	0	0	1	1	1	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0	0	2	2	0	1	1	3	2	0	0	2	1	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	5	0	1	2	0	0	0	0	0	2	0	4	5	1	0	0	0	1	0	1	0	0	1	0	0	2	0	1	0	0	1
CBC | Arts News	0	0	0	0	1	0	1	0	2	0	4	0	0	1	0	0	0	2	0	0	3	1	1	2	0	0	1	0	0	1	0	0	0	0	1	1	1	0	2	0	0	1	0	0	1	0	0	1	0	1	0	2	0	0	0	0	1	0	2	1	2	0	0	0	1	0	0	1	0	0	2	2	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	4	1	2	0	0	1	3	1	0	0	0	2	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	1	0	2	0	0	1	0	4	0	0	1	0	1	1	0	1	0	0	3	0	1	0	3	0
CBC | Technology News	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	2	1	0	1	0	0	1	1	0	2	0	0	0	0	2	1	1	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	3	2	0	1	3	2	0	0	3	2	1	0	2	0	1	0	3	0	2	3	0	0	0	0	0	0	1	2	1	0	1	1	1	1	0	4	2	0	0	1	0	4	2	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	3	0	0	0	2	3	0	2	0	0	0	2	1	0	0	0	0	0	1
CBC | Offbeat News	0	1	0	0	0	0	0	0	1	0	0	2	3	0	0	0	4	1	0	1	1	0	2	2	1	0	1	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	1	0	3	1	1	1	1	2	0	0	0	4	0	4	1	1	0	0	0	0	5	0	1	0	0	2	0	0	0	0	1	0	0	0	0	4	1	1	0	0	0	0	0	0	3	2	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	4
CBC | Aboriginal News	1	0	0	1	0	0	0	0	3	3	0	0	1	2	0	0	0	3	0	0	2	3	4	2	0	0	1	3	2	3	0	2	2	1	0	4	0	0	0	0	0	1	2	1	0	4	0	5	2	2	0	0	1	3	4	0	0	0	1	1	0	1	0	0	0	16	6	4	4	0	1	0	0	0	2	0	1	1	2	0	2	0	0	0	0	4	0	0	0	0	2	1	1	1	1	4	0	0	2	1	5	5	2	0	0	1	0	2	0	2	1	0	4	0	0	1	0	3	6	6	0	0	0	2	0	0	6	1	0	2	0	1	0	1	6	1	2	0	2	2	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	1	0	0
CBC | Sports News	0	3	0	7	4	3	2	7	0	0	1	0	0	0	0	2	0	3	3	0	0	0	0	2	0	0	1	1	2	5	0	0	0	0	2	0	2	0	1	0	0	4	0	0	0	0	0	5	0	0	0	3	2	0	0	0	1	0	2	0	1	1	2	2	1	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	6	0	1	0	0	0	5	0	0	1	0	1	0	5	3	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	4	0	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	2	2	2	0	4	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	0	0	10	3	2	2
CBC | MLB News	0	6	0	10	4	2	2	1	1	0	2	0	5	0	0	2	0	0	3	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0	5	0	10	0	0	0	0	3	0	1	0	0	0	6	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	4	0	0	2	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	5	0	3	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	4	2	1	3	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	1	0	0	3	2	5	1
CBC | NBA News	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	1	0	0	0	1	0	0	3	1	0	0	1	1	2	0	1	0	4	2	0	0	0	0	0	7	0	0	1	0	0	1	0	0	3	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	3	2	2	0	0	0	1	2	0	1	1	0	5	0	5	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	4	0	8	3	5	2	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0
CBC | Curling News	1	1	2	2	1	1	2	0	0	2	1	0	1	1	0	0	0	1	1	1	2	0	1	3	0	3	0	20	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	1	1	0	0	0	6	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	3	0	0	14	0	0	0
CBC | CFL News	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	1	0	1	1	3	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0	1	2	1	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	3	0	1	1	0	0	0	0	0	0	2	1	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	2	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0
